,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
188,3rd,"(635, 252)","(769, 230)","(702, 241)","(718, 331)","(1587, 464)","[[-3.06015569]
 [ 0.24166229]
 [ 0.13069731]]","[[ 986.016964  ]
 [  32.33598232]
 [1438.63014579]]"
189,3rd,"(635, 250)","(771, 229)","(703, 239)","(718, 329)","(1257, 443)","[[-3.05130524]
 [ 0.23615208]
 [ 0.35308538]]","[[1002.88082962]
 [  30.44766011]
 [1488.21811961]]"
190,3rd,"(636, 253)","(766, 230)","(701, 241)","(715, 334)","(1280, 474)","[[-3.04366671]
 [ 0.24687449]
 [ 0.38241534]]","[[ 953.63484794]
 [  36.12788697]
 [1427.63865784]]"
191,4th,"(632, 259)","(765, 234)","(698, 246)","(714, 338)","(560, 351)","[[-0.21926066]
 [-3.08420918]
 [ 0.18802597]]","[[ -973.03165498]
 [  -44.53262897]
 [-1596.40110867]]"
192,3rd,"(631, 251)","(763, 224)","(697, 237)","(712, 331)","(1395, 456)","[[-3.05484551]
 [ 0.28883755]
 [ 0.27448112]]","[[ 965.18956552]
 [  28.63443607]
 [1440.52368398]]"
193,3rd,"(631, 255)","(763, 229)","(697, 242)","(712, 334)","(1428, 423)","[[-3.08598575]
 [ 0.27428645]
 [ 0.22187268]]","[[ 983.29648354]
 [  36.12991294]
 [1462.09849741]]"
194,3rd,"(629, 259)","(761, 235)","(695, 247)","(707, 339)","(1343, 457)","[[-3.07199034]
 [ 0.24763444]
 [ 0.278028  ]]","[[ 964.01737889]
 [  50.26639229]
 [1461.28425355]]"
195,4th,"(625, 254)","(752, 232)","(688, 243)","(687, 330)","(320, 412)","[[-2.64455158]
 [ 0.29909224]
 [ 1.58709693]]","[[ 883.93063034]
 [  37.08438738]
 [1549.32180582]]"
196,4th,"(625, 246)","(747, 221)","(686, 233)","(678, 322)","(272, 378)","[[-2.57334771]
 [ 0.24110071]
 [ 1.74133929]]","[[ 846.20782633]
 [  15.94087342]
 [1532.98905322]]"
197,4th,"(633, 251)","(747, 230)","(690, 240)","(678, 325)","(285, 378)","[[-2.61773625]
 [ 0.22078968]
 [ 1.68840998]]","[[ 855.76154472]
 [  26.90436647]
 [1540.34977957]]"
198,4th,"(616, 256)","(736, 232)","(676, 244)","(668, 332)","(270, 395)","[[-2.60987363]
 [ 0.25615712]
 [ 1.68755847]]","[[ 828.1518818 ]
 [  40.09363825]
 [1537.2908246 ]]"
199,4th,"(623, 246)","(742, 228)","(682, 237)","(671, 322)","(263, 375)","[[-2.5223499 ]
 [ 0.1874619 ]
 [ 1.79165854]]","[[ 842.42807804]
 [  18.12722718]
 [1546.04310641]]"
200,4th,"(617, 250)","(742, 229)","(679, 239)","(672, 326)","(277, 398)","[[-2.59494047]
 [ 0.22818325]
 [ 1.65688256]]","[[ 835.46294035]
 [  26.33884113]
 [1526.98251771]]"
201,4th,"(639, 239)","(740, 233)","(689, 236)","(669, 329)","(253, 395)","[[-2.47324535]
 [ 0.16381349]
 [ 1.78578789]]","[[ 825.516098  ]
 [  28.80233999]
 [1533.66528049]]"
202,4th,"(621, 251)","(738, 229)","(679, 240)","(667, 325)","(271, 375)","[[-2.59440439]
 [ 0.20755034]
 [ 1.71192358]]","[[ 838.04545758]
 [  21.81995083]
 [1556.9179    ]]"
203,4th,"(634, 244)","(742, 223)","(688, 233)","(673, 321)","(260, 374)","[[-2.5338231 ]
 [ 0.22738111]
 [ 1.79819393]]","[[ 836.54071565]
 [  14.04657597]
 [1532.81499077]]"
204,4th,"(622, 248)","(744, 229)","(683, 238)","(674, 323)","(295, 379)","[[-2.66554504]
 [ 0.21300071]
 [ 1.60061589]]","[[ 848.34792507]
 [  22.24878646]
 [1535.51804258]]"
205,4th,"(617, 250)","(741, 230)","(679, 240)","(670, 327)","(293, 413)","[[-2.62512782]
 [ 0.25803288]
 [ 1.57852493]]","[[ 838.10799704]
 [  28.12047701]
 [1535.02725607]]"
206,4th,"(621, 247)","(741, 225)","(681, 236)","(672, 321)","(275, 380)","[[-2.55466866]
 [ 0.22853727]
 [ 1.73970765]]","[[ 851.31489855]
 [  13.09455975]
 [1562.45921284]]"
207,4th,"(618, 244)","(740, 222)","(679, 233)","(671, 321)","(263, 391)","[[-2.57776414]
 [ 0.2448938 ]
 [ 1.70535   ]]","[[ 822.04797052]
 [  20.97401124]
 [1521.07230295]]"
208,4th,"(632, 245)","(742, 226)","(687, 235)","(672, 322)","(256, 367)","[[-2.55630833]
 [ 0.20227121]
 [ 1.78384894]]","[[ 828.4943634 ]
 [  15.24381426]
 [1525.83606119]]"
209,4th,"(633, 244)","(744, 224)","(688, 234)","(673, 322)","(261, 371)","[[-2.53352101]
 [ 0.20952923]
 [ 1.79774262]]","[[ 838.53208721]
 [  14.10310639]
 [1540.6228912 ]]"
210,4th,"(636, 241)","(757, 224)","(696, 232)","(673, 321)","(246, 374)","[[-2.50447236]
 [ 0.17383482]
 [ 1.81132541]]","[[ 819.25860839]
 [  14.3485044 ]
 [1499.43908672]]"
211,4th,"(628, 239)","(753, 220)","(690, 229)","(670, 319)","(250, 384)","[[-2.46393984]
 [ 0.17565235]
 [ 1.80325234]]","[[ 822.45677934]
 [   5.77533071]
 [1517.42850265]]"
212,4th,"(623, 238)","(746, 217)","(684, 227)","(664, 318)","(260, 385)","[[-2.56878508]
 [ 0.2297567 ]
 [ 1.69897424]]","[[ 815.76512661]
 [   6.06617605]
 [1529.53463912]]"
213,4th,"(614, 240)","(743, 218)","(678, 229)","(666, 320)","(300, 420)","[[-2.67860337]
 [ 0.25439924]
 [ 1.45910243]]","[[ 808.46815444]
 [  14.76949493]
 [1496.68332181]]"
214,4th,"(612, 242)","(733, 220)","(672, 231)","(653, 322)","(239, 397)","[[-2.58549598]
 [ 0.2460502 ]
 [ 1.66687801]]","[[ 772.86317598]
 [  14.76171892]
 [1500.61051019]]"
215,4th,"(615, 235)","(732, 211)","(673, 223)","(656, 317)","(243, 403)","[[-2.58207854]
 [ 0.267601  ]
 [ 1.64135594]]","[[ 774.66231416]
 [   2.42649332]
 [1486.64267624]]"
216,4th,"(613, 235)","(732, 211)","(672, 223)","(656, 313)","(240, 394)","[[-2.51270006]
 [ 0.23447358]
 [ 1.72421934]]","[[ 787.59224975]
 [  -5.23615559]
 [1512.75999968]]"
217,4th,"(610, 242)","(725, 215)","(667, 228)","(657, 318)","(246, 394)","[[-2.56182402]
 [ 0.27156132]
 [ 1.70362473]]","[[ 790.64934313]
 [   7.48995895]
 [1517.62773554]]"
218,4th,"(604, 242)","(723, 215)","(663, 228)","(653, 318)","(260, 401)","[[-2.6178369 ]
 [ 0.27241831]
 [ 1.59647981]]","[[ 787.43229216]
 [   4.87433411]
 [1515.98801476]]"
219,4th,"(609, 238)","(727, 212)","(668, 225)","(656, 315)","(255, 391)","[[-2.58859751]
 [ 0.26218755]
 [ 1.65138267]]","[[ 794.71063636]
 [  -3.06915937]
 [1519.61479932]]"
220,4th,"(606, 238)","(734, 215)","(670, 226)","(656, 319)","(262, 417)","[[-2.60556633]
 [ 0.2555978 ]
 [ 1.55745986]]","[[ 783.09836448]
 [   4.51208558]
 [1494.13153178]]"
221,4th,"(607, 238)","(725, 212)","(666, 225)","(653, 317)","(230, 394)","[[-2.55398489]
 [ 0.25983443]
 [ 1.7021321 ]]","[[7.66758013e+02]
 [5.57610195e-01]
 [1.48625937e+03]]"
222,4th,"(605, 245)","(717, 220)","(661, 232)","(648, 324)","(243, 434)","[[-2.55497722]
 [ 0.27598536]
 [ 1.60469634]]","[[ 762.4327371 ]
 [  16.55777611]
 [1497.30248725]]"
223,4th,"(618, 236)","(730, 226)","(674, 231)","(647, 326)","(249, 441)","[[-2.52805058]
 [ 0.21965084]
 [ 1.5872092 ]]","[[ 770.65868087]
 [  20.01139566]
 [1506.6743728 ]]"
224,4th,"(602, 249)","(725, 228)","(663, 238)","(651, 325)","(277, 409)","[[-2.6334124 ]
 [ 0.24292487]
 [ 1.55405193]]","[[ 803.58824099]
 [  20.72462893]
 [1549.01421896]]"
225,4th,"(610, 249)","(722, 230)","(666, 239)","(651, 325)","(274, 406)","[[-2.59158295]
 [ 0.24924176]
 [ 1.6219423 ]]","[[ 816.56567096]
 [  21.48772918]
 [1573.62568465]]"
226,4th,"(598, 251)","(720, 231)","(659, 241)","(648, 328)","(313, 456)","[[-2.66839404]
 [ 0.28226507]
 [ 1.39022228]]","[[ 799.38177911]
 [  31.10385664]
 [1538.0444775 ]]"
227,4th,"(599, 252)","(722, 230)","(660, 241)","(649, 325)","(274, 405)","[[-2.68282056]
 [ 0.26228351]
 [ 1.51852564]]","[[ 785.86814604]
 [  25.23202364]
 [1519.79684689]]"
228,4th,"(589, 253)","(715, 230)","(652, 241)","(639, 328)","(258, 416)","[[-2.68008795]
 [ 0.28096888]
 [ 1.51053382]]","[[ 756.22878699]
 [  31.66042288]
 [1516.7791818 ]]"
229,4th,"(592, 253)","(718, 232)","(655, 242)","(644, 328)","(276, 432)","[[-2.69388761]
 [ 0.26520124]
 [ 1.43987553]]","[[ 763.8128072 ]
 [  32.11667998]
 [1495.52575167]]"
230,4th,"(592, 257)","(713, 237)","(652, 247)","(647, 333)","(314, 434)","[[-2.75429238]
 [ 0.27041643]
 [ 1.35287208]]","[[ 781.75385689]
 [  43.02343214]
 [1506.03736612]]"
231,4th,"(599, 259)","(721, 237)","(660, 248)","(650, 335)","(305, 408)","[[-2.75141054]
 [ 0.25029403]
 [ 1.42149673]]","[[ 796.54954597]
 [  42.4957432 ]
 [1533.81546353]]"
232,4th,"(598, 259)","(726, 236)","(662, 247)","(655, 333)","(360, 429)","[[-2.79743214]
 [ 0.26621071]
 [ 1.2785873 ]]","[[ 812.70083608]
 [  42.43633764]
 [1525.01905424]]"
233,4th,"(608, 255)","(733, 232)","(670, 243)","(662, 331)","(319, 413)","[[-2.73864887]
 [ 0.26752702]
 [ 1.41952929]]","[[ 817.02156843]
 [  33.76179376]
 [1524.19093725]]"
234,4th,"(602, 262)","(732, 242)","(667, 252)","(661, 344)","(388, 516)","[[-2.78243962]
 [ 0.24903924]
 [ 1.14735279]]","[[ 773.06060064]
 [  55.99663396]
 [1409.37655762]]"
235,4th,"(604, 270)","(734, 251)","(669, 260)","(666, 350)","(427, 497)","[[-2.80387732]
 [ 0.27686423]
 [ 1.15393084]]","[[ 834.94645779]
 [  80.50628414]
 [1512.48331513]]"
236,4th,"(603, 276)","(736, 254)","(669, 265)","(672, 355)","(614, 496)","[[-2.93693455]
 [ 0.30101203]
 [ 0.88061228]]","[[ 873.15067793]
 [  90.68030571]
 [1528.31667386]]"
237,3rd,"(606, 277)","(738, 256)","(672, 266)","(680, 359)","(1032, 517)","[[-3.03482162]
 [ 0.26275127]
 [ 0.44774131]]","[[ 901.58358529]
 [  90.39725566]
 [1494.29457755]]"
238,3rd,"(620, 276)","(732, 254)","(676, 265)","(695, 361)","(1045, 574)","[[-3.00197617]
 [ 0.24884838]
 [ 0.50671391]]","[[ 896.38886665]
 [  93.99873574]
 [1434.31534066]]"
239,3rd,"(613, 279)","(750, 258)","(681, 268)","(694, 360)","(862, 523)","[[-2.99355456]
 [ 0.27170954]
 [ 0.65284628]]","[[ 925.25984302]
 [  98.05409443]
 [1497.31772336]]"
240,3rd,"(613, 277)","(751, 257)","(682, 267)","(693, 361)","(887, 534)","[[-2.99147349]
 [ 0.27707863]
 [ 0.62343552]]","[[ 921.34663934]
 [  97.80640191]
 [1493.19098722]]"
241,3rd,"(612, 276)","(748, 257)","(680, 266)","(694, 359)","(892, 549)","[[-2.97797317]
 [ 0.26591362]
 [ 0.62280252]]","[[ 918.59382257]
 [  95.47152569]
 [1483.77750254]]"
242,3rd,"(615, 274)","(754, 254)","(684, 264)","(697, 356)","(1013, 507)","[[-3.03009059]
 [ 0.27263492]
 [ 0.51573775]]","[[ 939.71848046]
 [  87.25016391]
 [1492.78078404]]"
243,3rd,"(614, 269)","(756, 250)","(685, 259)","(697, 354)","(1000, 520)","[[-3.01249347]
 [ 0.25457825]
 [ 0.52784191]]","[[ 929.49325981]
 [  80.97378289]
 [1481.53684556]]"
244,3rd,"(618, 273)","(759, 255)","(688, 264)","(705, 360)","(1281, 541)","[[-3.0490947 ]
 [ 0.24310747]
 [ 0.341375  ]]","[[ 928.83657442]
 [  88.23533481]
 [1434.2827094 ]]"
245,3rd,"(622, 275)","(762, 257)","(692, 266)","(713, 362)","(1508, 544)","[[-3.06978865]
 [ 0.23622315]
 [ 0.1971459 ]]","[[ 942.56641017]
 [  92.95775104]
 [1418.59387044]]"
246,3rd,"(634, 266)","(772, 253)","(703, 259)","(719, 351)","(1660, 454)","[[-3.11530623]
 [ 0.14731125]
 [ 0.11995827]]","[[ 963.24027693]
 [  69.17032519]
 [1408.17875926]]"
247,3rd,"(637, 263)","(776, 251)","(706, 257)","(723, 351)","(1488, 588)","[[-3.02228184]
 [ 0.19087056]
 [ 0.3003599 ]]","[[ 932.05883485]
 [  64.08206876]
 [1370.36707231]]"
248,3rd,"(635, 269)","(773, 255)","(704, 262)","(723, 358)","(1727, 524)","[[-3.07932961]
 [ 0.17968717]
 [ 0.07653045]]","[[ 962.11666446]
 [  78.62934064]
 [1401.65521155]]"
249,3rd,"(637, 267)","(777, 253)","(707, 260)","(727, 354)","(1841, 596)","[[-3.05812968]
 [ 0.21008962]
 [ 0.17562308]]","[[ 916.78065753]
 [  71.42253088]
 [1321.07312689]]"
250,3rd,"(637, 266)","(776, 253)","(706, 259)","(725, 353)","(1656, 496)","[[-3.09122849]
 [ 0.18584941]
 [ 0.18444902]]","[[ 946.05316308]
 [  67.28033114]
 [1378.25029195]]"
