,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
69,3rd,"(640, 214)","(758, 210)","(699, 212)","(718, 307)","(1645, 357)","[[-3.07144238]
 [ 0.08569139]
 [ 0.06574435]]","[[ 968.71980987]
 [ -37.8049343 ]
 [1431.88981589]]"
70,2nd,"(693, 196)","(772, 201)","(732, 198)","(748, 292)","(1970, 265)","[[-3.10210436]
 [ 0.0197015 ]
 [-0.06203438]]","[[1035.68720903]
 [ -68.88495165]
 [1403.953408  ]]"
71,3rd,"(595, 316)","(772, 305)","(683, 310)","(684, 433)","(1902, 1017)","[[-3.03976714]
 [ 0.13460559]
 [ 0.14478365]]","[[ 790.83631771]
 [ 211.41352303]
 [1266.256967  ]]"
72,3rd,"(659, 209)","(816, 200)","(737, 204)","(760, 342)","(4060, 1035)","[[-3.00280269]
 [ 0.09417666]
 [ 0.10732348]]","[[ 849.17483995]
 [  13.90646923]
 [1118.77895384]]"
73,3rd,"(641, 240)","(801, 236)","(721, 238)","(732, 377)","(3206, 1226)","[[-2.9897661]
 [ 0.0925901]
 [ 0.1453565]]","[[ 811.65141772]
 [  78.36320459]
 [1140.01389221]]"
74,3rd,"(639, 277)","(799, 273)","(719, 275)","(726, 409)","(2463, 1210)","[[-3.00302817]
 [ 0.08596869]
 [ 0.23596505]]","[[ 815.82681256]
 [ 145.56546893]
 [1172.53878651]]"
75,3rd,"(642, 269)","(802, 264)","(722, 266)","(736, 400)","(2661, 1059)","[[-3.02891075]
 [ 0.07142228]
 [ 0.14544082]]","[[ 854.37544578]
 [ 131.88441481]
 [1192.13424933]]"
76,3rd,"(629, 260)","(782, 252)","(705, 256)","(724, 387)","(2694, 1069)","[[-3.01137428]
 [ 0.08549719]
 [ 0.13677336]]","[[ 822.30169396]
 [ 105.77307427]
 [1181.03864641]]"
77,3rd,"(622, 272)","(784, 261)","(703, 266)","(717, 395)","(2124, 1030)","[[-2.99104852]
 [ 0.11850602]
 [ 0.2211519 ]]","[[ 823.50105014]
 [ 125.89277182]
 [1214.99494822]]"
78,3rd,"(613, 260)","(760, 251)","(686, 255)","(707, 384)","(2221, 986)","[[-3.00261978]
 [ 0.13966633]
 [ 0.20210823]]","[[ 796.79181753]
 [ 101.90974963]
 [1201.92518718]]"
