,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
107,1st,"(479, 295)","(602, 286)","(540, 290)","(520, 362)","(203, 339)","[[-3.03865936]
 [ 0.05011264]
 [ 1.12351081]]","[[ 508.15617615]
 [ 116.61485232]
 [1568.88938965]]"
108,1st,"(475, 295)","(596, 286)","(535, 290)","(515, 362)","(186, 326)","[[-3.04307284]
 [ 0.04079346]
 [ 1.14393177]]","[[ 492.13530111]
 [ 112.09479407]
 [1568.62466592]]"
109,1st,"(468, 297)","(588, 286)","(528, 291)","(508, 364)","(176, 330)","[[-3.05622126]
 [ 0.06734822]
 [ 1.12250984]]","[[ 472.21033563]
 [ 116.60668326]
 [1561.96899263]]"
110,1st,"(456, 298)","(577, 285)","(516, 291)","(495, 366)","(136, 331)","[[ 2.83464451]
 [-0.06253805]
 [-1.06150263]]","[[ 433.38018857]
 [ 116.56874573]
 [1541.67480424]]"
111,1st,"(449, 298)","(570, 284)","(509, 291)","(488, 366)","(133, 337)","[[ 2.84539726]
 [-0.08197871]
 [-1.0376575 ]]","[[ 419.46631313]
 [ 118.06055716]
 [1544.68763543]]"
112,1st,"(442, 299)","(563, 284)","(502, 291)","(481, 367)","(109, 339)","[[-3.04477451]
 [ 0.0984602 ]
 [ 1.14061379]]","[[ 399.71048241]
 [ 117.47058763]
 [1541.20461615]]"
113,1st,"(440, 298)","(560, 283)","(500, 290)","(475, 365)","(119, 335)","[[ 2.84517604]
 [-0.10626135]
 [-1.02739559]]","[[ 395.45942423]
 [ 112.57814286]
 [1555.4643068 ]]"
114,1st,"(440, 298)","(560, 283)","(500, 290)","(476, 365)","(124, 345)","[[ 2.86104277]
 [-0.10776661]
 [-1.02311964]]","[[ 398.05355171]
 [ 112.48997177]
 [1556.67930541]]"
115,1st,"(446, 300)","(565, 285)","(505, 292)","(476, 366)","(121, 328)","[[ 2.83993463]
 [-0.08617478]
 [-1.02668138]]","[[ 396.28207272]
 [ 113.80316419]
 [1560.51632546]]"
116,1st,"(447, 299)","(567, 285)","(507, 292)","(478, 366)","(121, 334)","[[ 2.84540485]
 [-0.0925911 ]
 [-1.02937721]]","[[ 399.81974959]
 [ 113.60684345]
 [1551.51111143]]"
117,1st,"(448, 300)","(568, 286)","(508, 293)","(479, 367)","(121, 333)","[[-3.05311047]
 [ 0.08580543]
 [ 1.13347108]]","[[ 405.31196183]
 [ 117.80205537]
 [1563.52920574]]"
118,1st,"(461, 295)","(586, 285)","(523, 290)","(497, 366)","(181, 365)","[[-3.04856685]
 [ 0.05993248]
 [ 1.01070725]]","[[ 441.84073962]
 [ 118.61185408]
 [1541.18198297]]"
119,4th,"(472, 296)","(601, 289)","(536, 292)","(517, 367)","(314, 423)","[[-3.05245572]
 [ 0.0517251 ]
 [ 0.80845835]]","[[ 496.84303664]
 [ 127.62443499]
 [1541.66576262]]"
120,3rd,"(522, 280)","(652, 285)","(587, 282)","(589, 354)","(877, 414)","[[-3.13689411]
 [-0.02356255]
 [ 0.29689232]]","[[ 687.50695185]
 [ 100.82947805]
 [1535.50526515]]"
