,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
106,3rd,"(591, 262)","(736, 281)","(663, 271)","(666, 367)","(1589, 529)","[[-3.12235605]
 [-0.17085383]
 [ 0.18337172]]","[[ 773.11243263]
 [ 108.44975403]
 [1314.14859198]]"
107,3rd,"(581, 263)","(730, 280)","(655, 271)","(659, 367)","(1541, 572)","[[-3.10127866]
 [-0.16185924]
 [ 0.22746126]]","[[ 743.44929751]
 [ 106.26524076]
 [1292.24522567]]"
108,3rd,"(554, 266)","(705, 274)","(629, 270)","(630, 365)","(995, 533)","[[-3.07219533]
 [-0.10950209]
 [ 0.45799267]]","[[ 688.93847887]
 [ 105.74347967]
 [1318.92984662]]"
109,4th,"(493, 256)","(625, 266)","(559, 261)","(540, 367)","(105, 572)","[[-2.87837912]
 [-0.03548829]
 [ 0.9477208 ]]","[[ 440.55415446]
 [  94.01692943]
 [1259.93714486]]"
110,4th,"(491, 263)","(619, 267)","(555, 265)","(539, 367)","(226, 598)","[[-2.89728712e+00]
 [-1.18526427e-03]
 [ 8.38289087e-01]]","[[ 467.07556599]
 [  94.54746538]
 [1307.56501148]]"
111,4th,"(487, 255)","(615, 268)","(551, 261)","(532, 366)","(54, 586)","[[-2.80411745]
 [-0.03930751]
 [ 1.02934408]]","[[ 427.94310013]
 [  95.8547106 ]
 [1278.34147907]]"
112,4th,"(484, 253)","(605, 260)","(544, 256)","(531, 368)","(443, 439)","[[ 0.14598755]
 [-3.06093282]
 [ 0.60625614]]","[[ -496.06779209]
 [ -100.7689487 ]
 [-1442.46717537]]"
113,4th,"(480, 270)","(614, 270)","(547, 270)","(527, 368)","(195, 645)","[[-2.87005421]
 [ 0.04908119]
 [ 0.84349628]]","[[ 447.02082177]
 [ 100.20830885]
 [1304.21130747]]"
114,4th,"(483, 266)","(613, 268)","(548, 267)","(528, 367)","(153, 604)","[[-2.83287386]
 [ 0.05642391]
 [ 0.94486527]]","[[ 454.23399079]
 [  97.9960956 ]
 [1337.3215499 ]]"
115,4th,"(479, 268)","(612, 270)","(545, 269)","(529, 369)","(202, 648)","[[-2.84548908]
 [ 0.07452488]
 [ 0.86650322]]","[[ 458.19639329]
 [ 105.22554735]
 [1334.93269735]]"
116,4th,"(480, 254)","(606, 268)","(543, 261)","(521, 369)","(86, 684)","[[-2.78227865]
 [-0.00609559]
 [ 0.92359259]]","[[ 414.07169144]
 [  95.8592077 ]
 [1272.87930507]]"
117,4th,"(481, 272)","(614, 270)","(547, 271)","(525, 370)","(151, 629)","[[-2.85161961]
 [ 0.09790239]
 [ 0.92167806]]","[[ 443.97152254]
 [ 105.85833947]
 [1317.20331833]]"
118,4th,"(486, 270)","(612, 272)","(549, 271)","(524, 370)","(115, 551)","[[-2.79554892]
 [ 0.02337745]
 [ 1.06788889]]","[[ 456.62754075]
 [ 104.7275089 ]
 [1386.97461708]]"
119,4th,"(479, 272)","(613, 273)","(546, 272)","(523, 371)","(453, 419)","[[ 0.13144173]
 [-3.05430679]
 [ 0.48425188]]","[[ -535.71056937]
 [ -120.45128396]
 [-1570.37363136]]"
120,4th,"(490, 264)","(617, 265)","(553, 264)","(539, 368)","(227, 631)","[[ 3.15470444]
 [-0.05134292]
 [-0.91658081]]","[[ 466.64527083]
 [  93.55976533]
 [1305.61039841]]"
121,4th,"(504, 264)","(649, 263)","(576, 263)","(567, 361)","(504, 509)","[[-3.04893671]
 [ 0.02221793]
 [ 0.65725852]]","[[ 527.74764809]
 [  93.76840487]
 [1287.85028696]]"
122,4th,"(511, 261)","(659, 263)","(585, 262)","(577, 358)","(555, 523)","[[-3.03639653]
 [ 0.0055934 ]
 [ 0.64186497]]","[[ 550.00603604]
 [  88.43337902]
 [1287.93324242]]"
123,3rd,"(527, 260)","(669, 261)","(598, 260)","(587, 357)","(812, 548)","[[-3.0644606 ]
 [-0.0101895 ]
 [ 0.49295496]]","[[ 570.4322456 ]
 [  85.02032784]
 [1270.14376159]]"
124,3rd,"(538, 255)","(683, 259)","(610, 257)","(609, 353)","(1011, 516)","[[-3.08397149]
 [-0.0295985 ]
 [ 0.41768949]]","[[ 625.54732087]
 [  78.40757568]
 [1284.7762797 ]]"
125,3rd,"(550, 252)","(697, 261)","(623, 256)","(625, 351)","(1355, 506)","[[-3.10725843]
 [-0.07555054]
 [ 0.28181354]]","[[ 658.77019015]
 [  72.77280485]
 [1270.15018007]]"
126,3rd,"(558, 250)","(704, 262)","(631, 256)","(634, 351)","(1463, 506)","[[-3.10929555]
 [-0.09693925]
 [ 0.24484077]]","[[ 676.7678267 ]
 [  71.38131884]
 [1269.79658615]]"
127,3rd,"(565, 248)","(712, 262)","(638, 255)","(643, 349)","(1571, 481)","[[-3.11934492]
 [-0.1159794 ]
 [ 0.19961053]]","[[ 701.7799302 ]
 [  68.22511106]
 [1276.62413787]]"
128,3rd,"(578, 245)","(720, 268)","(649, 256)","(657, 349)","(1672, 421)","[[-3.14190144]
 [-0.18644567]
 [ 0.15766989]]","[[ 745.03271046]
 [  67.56135221]
 [1291.73999022]]"
129,3rd,"(582, 247)","(723, 269)","(652, 258)","(660, 347)","(1549, 444)","[[-3.12198417]
 [-0.21022853]
 [ 0.15387091]]","[[ 783.50536426]
 [  70.99517507]
 [1341.27729404]]"
130,3rd,"(573, 247)","(716, 268)","(644, 257)","(651, 350)","(1492, 462)","[[-3.11636803]
 [-0.17281485]
 [ 0.22802954]]","[[ 730.67759223]
 [  70.19268951]
 [1299.11800209]]"
131,3rd,"(577, 244)","(720, 267)","(648, 255)","(654, 346)","(1508, 426)","[[-3.12588036]
 [-0.1968536 ]
 [ 0.19426869]]","[[ 757.48027867]
 [  64.57558685]
 [1323.66122903]]"
132,3rd,"(588, 242)","(729, 267)","(658, 254)","(667, 345)","(1653, 444)","[[-3.11898826]
 [-0.23476087]
 [ 0.13547818]]","[[ 783.57366171]
 [  64.01129873]
 [1320.78434445]]"
133,2nd,"(623, 234)","(759, 272)","(691, 253)","(699, 343)","(1995, 289)","[[-3.18539239]
 [-0.34056171]
 [ 0.00524957]]","[[ 850.26456571]
 [  50.11683779]
 [1314.97953405]]"
134,2nd,"(650, 233)","(777, 276)","(713, 254)","(726, 345)","(2168, 277)","[[-3.19916776]
 [-0.42011015]
 [-0.13235981]]","[[ 934.21511068]
 [  56.69077379]
 [1338.49119327]]"
135,2nd,"(665, 232)","(788, 278)","(726, 255)","(739, 345)","(2172, 321)","[[-3.17373705]
 [-0.40931788]
 [-0.16640621]]","[[ 970.84080506]
 [  54.2926419 ]
 [1356.17005263]]"
136,2nd,"(663, 234)","(786, 282)","(724, 258)","(738, 347)","(2190, 316)","[[-3.18631001]
 [-0.40141256]
 [-0.18688526]]","[[ 977.20144123]
 [  62.17290011]
 [1357.04399032]]"
137,2nd,"(659, 233)","(785, 279)","(722, 256)","(735, 346)","(2096, 341)","[[-3.16844871]
 [-0.39127308]
 [-0.14586389]]","[[ 974.23637163]
 [  60.24682828]
 [1369.72757288]]"
138,2nd,"(643, 235)","(772, 276)","(707, 255)","(714, 346)","(2036, 334)","[[-3.17307703]
 [-0.36782398]
 [-0.05275971]]","[[ 907.33181133]
 [  61.03891689]
 [1341.02479029]]"
139,3rd,"(575, 241)","(718, 260)","(646, 250)","(647, 334)","(1226, 371)","[[-3.11960498]
 [-0.18874816]
 [ 0.30652276]]","[[ 767.5752033 ]
 [  47.45397403]
 [1373.26600758]]"
