,quadrant,left_pupil,right_pupil,gaze_center,nose_end_points,gaze_direction_points,rotation_vector,translation_Vector
379,4th,"(498, 349)","(659, 347)","(578, 348)","(566, 471)","(57, 879)","[[ 3.00811136]
 [-0.26019481]
 [-1.15478702]]","[[ 470.62716511]
 [ 271.33511342]
 [1196.71448786]]"
380,4th,"(485, 333)","(656, 333)","(570, 333)","(565, 461)","(32, 924)","[[ 3.0287902 ]
 [-0.26182905]
 [-1.10748932]]","[[ 454.35161031]
 [ 244.56808428]
 [1157.4731084 ]]"
381,3rd,"(492, 331)","(664, 335)","(578, 333)","(558, 462)","(-48, 923)","[[ 3.01071574]
 [-0.25441785]
 [-1.17000998]]","[[ 431.51560105]
 [ 242.00087638]
 [1133.82700973]]"
382,3rd,"(542, 333)","(739, 327)","(640, 330)","(656, 452)","(2226, 1537)","[[ 3.15672958]
 [-0.1363192 ]
 [-0.34489657]]","[[ 631.04833552]
 [ 220.99166884]
 [1111.98439918]]"
383,3rd,"(607, 336)","(785, 323)","(696, 329)","(721, 448)","(4825, 2154)","[[ 3.17893049]
 [-0.12939996]
 [-0.15938175]]","[[ 734.17618051]
 [ 211.78420497]
 [1082.13858901]]"
384,3rd,"(614, 329)","(804, 323)","(709, 326)","(737, 443)","(6951, 2563)","[[ 3.18468744]
 [-0.05731247]
 [-0.03336322]]","[[ 759.19357971]
 [ 206.43479191]
 [1068.39153217]]"
385,3rd,"(639, 317)","(800, 313)","(719, 315)","(744, 430)","(5554, 1771)","[[ 3.16392211]
 [-0.08461157]
 [-0.04479608]]","[[ 783.72098568]
 [ 185.94607346]
 [1089.4693161 ]]"
386,3rd,"(631, 278)","(798, 275)","(714, 276)","(750, 367)","(3425, 508)","[[ 3.09419648]
 [-0.03038942]
 [-0.05353265]]","[[ 839.84385399]
 [  97.02267811]
 [1159.89602627]]"
387,3rd,"(657, 264)","(800, 265)","(728, 264)","(749, 371)","(2875, 761)","[[ 3.19122799]
 [-0.03966632]
 [-0.0985572 ]]","[[ 859.12702588]
 [  87.57339578]
 [1191.36555692]]"
388,3rd,"(635, 268)","(804, 268)","(719, 268)","(743, 360)","(2499, 538)","[[ 3.13358843]
 [-0.00904691]
 [-0.15371274]]","[[ 861.05215384]
 [  82.76907025]
 [1213.28650939]]"
