,quadrant,left_pupil,right_pupil,gaze_center_x,gaze_center_y,nose_end_points,gaze_end_points
186,4th,"(466, 277)","(585, 273)",525,275,"(523, 384)","(189, 618)"
187,3rd,"(466, 278)","(585, 272)",525,275,"(523, 382)","(679, 651)"
188,4th,"(465, 278)","(591, 274)",528,276,"(522, 385)","(160, 595)"
189,4th,"(471, 279)","(584, 275)",527,277,"(524, 383)","(147, 577)"
190,4th,"(466, 277)","(585, 273)",525,275,"(522, 382)","(145, 582)"
191,4th,"(463, 279)","(588, 273)",525,276,"(522, 385)","(362, 662)"
192,3rd,"(468, 279)","(588, 273)",528,276,"(523, 385)","(848, 715)"
193,3rd,"(463, 280)","(582, 276)",522,278,"(521, 387)","(576, 690)"
194,4th,"(469, 279)","(583, 275)",526,277,"(521, 384)","(335, 635)"
195,4th,"(492, 275)","(606, 265)",549,270,"(536, 380)","(385, 609)"
196,3rd,"(555, 285)","(618, 288)",586,286,"(596, 353)","(1069, 388)"
197,3rd,"(506, 252)","(602, 243)",554,247,"(586, 335)","(1520, 428)"
198,3rd,"(477, 266)","(554, 244)",515,255,"(534, 303)","(605, 319)"
199,1st,"(513, 244)","(581, 235)",547,239,"(555, 278)","(538, 255)"
200,2nd,"(514, 224)","(603, 230)",558,227,"(556, 277)","(675, 257)"
201,2nd,"(517, 226)","(606, 232)",561,229,"(559, 281)","(828, 256)"
202,1st,"(520, 255)","(586, 245)",553,250,"(557, 291)","(492, 284)"
203,1st,"(520, 258)","(618, 240)",569,249,"(564, 291)","(550, 235)"
204,1st,"(533, 257)","(595, 258)",564,257,"(563, 296)","(518, 235)"
205,1st,"(525, 259)","(624, 239)",574,249,"(567, 299)","(520, 268)"
206,3rd,"(526, 233)","(626, 240)",576,236,"(570, 301)","(735, 343)"
207,3rd,"(527, 231)","(626, 240)",576,235,"(570, 300)","(795, 329)"
208,3rd,"(528, 232)","(625, 239)",576,235,"(571, 300)","(878, 329)"
209,1st,"(539, 259)","(627, 241)",583,250,"(573, 303)","(561, 286)"
210,1st,"(530, 262)","(627, 240)",578,251,"(574, 305)","(543, 296)"
211,1st,"(529, 263)","(629, 241)",579,252,"(576, 302)","(555, 271)"
212,2nd,"(526, 263)","(631, 241)",578,252,"(576, 303)","(594, 279)"
213,1st,"(514, 265)","(630, 241)",572,253,"(575, 306)","(554, 295)"
214,3rd,"(525, 234)","(620, 238)",572,236,"(568, 304)","(830, 335)"
215,3rd,"(476, 242)","(577, 240)",526,241,"(526, 315)","(620, 372)"
216,1st,"(483, 274)","(545, 268)",514,271,"(512, 319)","(390, 268)"
217,3rd,"(454, 244)","(556, 239)",505,241,"(505, 316)","(532, 386)"
218,4th,"(448, 245)","(555, 240)",501,242,"(501, 318)","(384, 351)"
219,4th,"(450, 244)","(555, 238)",502,241,"(502, 316)","(383, 349)"
220,3rd,"(452, 244)","(557, 238)",504,241,"(505, 316)","(543, 384)"
221,3rd,"(457, 239)","(557, 234)",507,236,"(508, 314)","(556, 374)"
222,3rd,"(458, 242)","(559, 238)",508,240,"(507, 317)","(764, 397)"
223,4th,"(455, 244)","(559, 240)",507,242,"(506, 320)","(392, 349)"
224,3rd,"(452, 244)","(558, 241)",505,242,"(507, 319)","(691, 375)"
225,3rd,"(453, 245)","(557, 241)",505,243,"(506, 319)","(659, 388)"
226,3rd,"(458, 247)","(557, 243)",507,245,"(506, 321)","(651, 387)"
227,4th,"(455, 247)","(556, 241)",505,244,"(504, 320)","(503, 410)"
228,4th,"(453, 244)","(552, 237)",502,240,"(500, 318)","(256, 427)"
229,4th,"(446, 248)","(555, 242)",500,245,"(502, 322)","(482, 415)"
230,4th,"(444, 245)","(550, 239)",497,242,"(497, 321)","(355, 430)"
231,4th,"(441, 249)","(548, 242)",494,245,"(496, 325)","(242, 443)"
232,4th,"(443, 290)","(518, 264)",480,277,"(494, 326)","(382, 336)"
233,4th,"(441, 248)","(542, 241)",491,244,"(490, 325)","(327, 347)"
234,4th,"(442, 248)","(544, 240)",493,244,"(489, 325)","(325, 342)"
235,4th,"(440, 249)","(544, 239)",492,244,"(490, 325)","(337, 346)"
236,4th,"(438, 247)","(542, 240)",490,243,"(487, 326)","(337, 351)"
237,4th,"(438, 247)","(544, 240)",491,243,"(489, 325)","(134, 449)"
238,4th,"(434, 246)","(542, 239)",488,242,"(487, 324)","(177, 431)"
239,1st,"(450, 281)","(516, 270)",483,275,"(485, 325)","(387, 288)"
240,4th,"(433, 245)","(545, 238)",489,241,"(485, 322)","(183, 435)"
241,4th,"(443, 245)","(548, 239)",495,242,"(487, 323)","(231, 430)"
242,4th,"(449, 248)","(548, 239)",498,243,"(490, 326)","(332, 341)"
243,4th,"(450, 250)","(551, 242)",500,246,"(495, 327)","(226, 442)"
244,4th,"(453, 252)","(556, 245)",504,248,"(501, 329)","(284, 467)"
245,3rd,"(467, 258)","(575, 254)",521,256,"(515, 340)","(555, 451)"
246,3rd,"(475, 261)","(577, 257)",526,259,"(521, 343)","(921, 468)"
247,4th,"(478, 261)","(581, 257)",529,259,"(524, 343)","(383, 358)"
248,4th,"(476, 262)","(580, 256)",528,259,"(525, 344)","(397, 364)"
249,3rd,"(475, 259)","(581, 256)",528,257,"(525, 343)","(871, 468)"
250,3rd,"(475, 260)","(580, 256)",527,258,"(525, 341)","(797, 453)"
251,3rd,"(473, 262)","(576, 257)",524,259,"(525, 341)","(851, 441)"
252,4th,"(477, 259)","(580, 256)",528,257,"(522, 341)","(294, 486)"
253,4th,"(476, 258)","(577, 256)",526,257,"(522, 341)","(383, 366)"
254,3rd,"(473, 259)","(575, 255)",524,257,"(521, 341)","(777, 433)"
255,4th,"(474, 258)","(578, 254)",526,256,"(520, 341)","(396, 367)"
256,3rd,"(471, 256)","(576, 254)",523,255,"(521, 339)","(712, 437)"
257,4th,"(475, 259)","(576, 256)",525,257,"(521, 342)","(389, 369)"
258,3rd,"(473, 260)","(576, 256)",524,258,"(521, 341)","(524, 446)"
259,3rd,"(471, 260)","(576, 255)",523,257,"(523, 342)","(813, 471)"
260,4th,"(471, 259)","(572, 256)",521,257,"(518, 342)","(400, 370)"
261,3rd,"(471, 261)","(575, 257)",523,259,"(520, 344)","(680, 472)"
262,4th,"(472, 261)","(576, 257)",524,259,"(520, 345)","(396, 369)"
263,4th,"(473, 262)","(576, 257)",524,259,"(521, 344)","(390, 367)"
264,3rd,"(472, 262)","(577, 259)",524,260,"(522, 345)","(657, 464)"
265,4th,"(473, 263)","(577, 259)",525,261,"(522, 345)","(414, 379)"
